outlook,temperature,humidity,windy,play!
rainy,cool,normal,TRUE,no
rainy,mild,high,TRUE,no
sunny,hot,high,FALSE,no
sunny,hot,high,TRUE,no
sunny,mild,high,FALSE,no
overcast,cool,normal,TRUE,yes
overcast,hot,high,FALSE,yes
overcast,hot,normal,FALSE,yes
overcast,mild,high,TRUE,yes
rainy,cool,normal,FALSE,yes
rainy,mild,high,FALSE,yes
rainy,mild,normal,FALSE,yes
sunny,cool,normal,FALSE,yes
sunny,mild,normal,TRUE,yes
rainy,cool,normal,TRUE,no
rainy,mild,high,TRUE,no
sunny,hot,high,FALSE,no
sunny,hot,high,TRUE,no
sunny,mild,high,FALSE,no
overcast,cool,normal,TRUE,yes
overcast,hot,high,FALSE,yes
overcast,hot,normal,FALSE,yes
overcast,mild,high,TRUE,yes
rainy,cool,normal,FALSE,yes
rainy,mild,high,FALSE,yes
rainy,mild,normal,FALSE,yes
sunny,cool,normal,FALSE,yes
sunny,mild,normal,TRUE,yes
